DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),21/03/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Czechia,2020-Q4,58578.4,,
ESTAT:NAMQ_10_GDP(1.0),21/03/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Czechia,2021-Q1,54372.7,,
ESTAT:NAMQ_10_GDP(1.0),21/03/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Czechia,2021-Q2,61744.8,,
ESTAT:NAMQ_10_GDP(1.0),21/03/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Czechia,2021-Q3,63754.3,,
ESTAT:NAMQ_10_GDP(1.0),21/03/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Czechia,2021-Q4,66269.1,,
ESTAT:NAMQ_10_GDP(1.0),21/03/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Czechia,2022-Q1,64837.1,,
ESTAT:NAMQ_10_GDP(1.0),21/03/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Czechia,2022-Q2,71591.1,,
ESTAT:NAMQ_10_GDP(1.0),21/03/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Czechia,2022-Q3,73813.8,,
ESTAT:NAMQ_10_GDP(1.0),21/03/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Czechia,2022-Q4,76792.1,,
ESTAT:NAMQ_10_GDP(1.0),21/03/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Czechia,2023-Q1,74543.5,,
